Istituzione Scolastica;Ordine Scolastico;Scuola/Indirizzo;Scuola/Indirizzo - Codice PAT;Numero Iscritti;Numero Classi
"ISTITUTO COMPRENSIVO CLES ""B. Clesio""";SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""V. Inama"" CLES";0220623001;255;12
"ISTITUTO COMPRENSIVO DEL CHIESE ""Don L. Milani""";PRIMARIA;"SCUOLA PRIMARIA ""G. PAPALEONI"" CONDINO";0220662101;90;6
"ISTITUTO COMPRENSIVO DEL CHIESE ""Don L. Milani""";PRIMARIA;"SCUOLA PRIMARIA ""PADRE C. GNESOTTI"" STORO";0221832101;166;9
"ISTITUTO COMPRENSIVO DEL CHIESE ""Don L. Milani""";PRIMARIA;SCUOLA PRIMARIA PIEVE DI BONO - CRETO;0221402102;116;7
"ISTITUTO COMPRENSIVO DEL CHIESE ""Don L. Milani""";PRIMARIA;SCUOLA PRIMARIA STORO - LODRONE;0221832103;88;5
"ISTITUTO COMPRENSIVO DEL CHIESE ""Don L. Milani""";SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""G. LEOPARDI"" STORO";0221833001;203;10
"ISTITUTO COMPRENSIVO DEL CHIESE ""Don L. Milani""";SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""G. PASCOLI"" PIEVE DI BONO";0221403002;143;8
ISTITUTO COMPRENSIVO DI SCUOLA PRIMARIA E SECONDARIA DI PRIMIERO;PRIMARIA;"SCUOLA PRIMARIA ""B. ZANETEL"" S.MARTINO DI CASTROZZA";0221742102;14;2
ISTITUTO COMPRENSIVO DI SCUOLA PRIMARIA E SECONDARIA DI PRIMIERO;PRIMARIA;"SCUOLA PRIMARIA ""CARD. J. BERNARDIN"" TONADICO";0222012101;179;11
ISTITUTO COMPRENSIVO DI SCUOLA PRIMARIA E SECONDARIA DI PRIMIERO;PRIMARIA;"SCUOLA PRIMARIA ""F. LOSS"" CANAL SAN BOVO";0220382101;76;5
ISTITUTO COMPRENSIVO DI SCUOLA PRIMARIA E SECONDARIA DI PRIMIERO;PRIMARIA;SCUOLA PRIMARIA MEZZANO;0221152101;85;6
ISTITUTO COMPRENSIVO DI SCUOLA PRIMARIA E SECONDARIA DI PRIMIERO;SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""L. NEGRELLI""  - FIERA DI PRIMIERO";0222043001;142;7
ISTITUTO COMPRENSIVO DI SCUOLA PRIMARIA E SECONDARIA DI PRIMIERO;SECONDARIA DI PRIMO GRADO;SCUOLA SECONDARIA DI PRIMO GRADO CANAL SAN BOVO;0220383001;45;3
ISTITUTO COMPRENSIVO DI SCUOLA PRIMARIA E SECONDARIA DI PRIMIERO;SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE ECONOMICO;0220845402;101;8
ISTITUTO COMPRENSIVO DI SCUOLA PRIMARIA E SECONDARIA DI PRIMIERO;SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO;0220845503;74;6
ISTITUTO COMPRENSIVO DI SCUOLA PRIMARIA E SECONDARIA DI PRIMIERO;SECONDARIA DI SECONDO GRADO;LICEO SCIENTIFICO OPZIONE SCIENZE APPLICATE;0220847102;87;5
ISTITUTO COMPRENSIVO FOLGARIA - LAVARONE - LUSERNA;PRIMARIA;"SCUOLA PRIMARIA ""S. LAUTON"" FOLGARIA";0220872101;85;5
ISTITUTO COMPRENSIVO FOLGARIA - LAVARONE - LUSERNA;PRIMARIA;SCUOLA PRIMARIA LAVARONE;0221022101;72;5
ISTITUTO COMPRENSIVO FOLGARIA - LAVARONE - LUSERNA;SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""G. PRATI"" LAVARONE";0221023001;50;3
ISTITUTO COMPRENSIVO FOLGARIA - LAVARONE - LUSERNA;SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""P. RELLA"" FOLGARIA";0220873001;58;3
ISTITUTO COMPRENSIVO FONDO - REVO';PRIMARIA;"SCUOLA PRIMARIA ""C.A. Martini"" REVO'";0221522101;80;5
ISTITUTO COMPRENSIVO FONDO - REVO';PRIMARIA;"SCUOLA PRIMARIA ""MADRE TERESA DI CALCUTTA"" ROMENO";0221552101;68;5
ISTITUTO COMPRENSIVO FONDO - REVO';PRIMARIA;"SCUOLA PRIMARIA ""PADRE A. STEFENELLI"" FONDO";0220882101;99;6
ISTITUTO COMPRENSIVO FONDO - REVO';PRIMARIA;"SCUOLA PRIMARIA ""Stefano Zuech"" BREZ";0220272101;67;5
ISTITUTO COMPRENSIVO FONDO - REVO';PRIMARIA;SCUOLA PRIMARIA CASTELFONDO;0220462101;31;3
ISTITUTO COMPRENSIVO FONDO - REVO';PRIMARIA;SCUOLA PRIMARIA CAVARENO;0220512101;88;5
ISTITUTO COMPRENSIVO FONDO - REVO';PRIMARIA;SCUOLA PRIMARIA SANZENO;0221692101;46;4
ISTITUTO COMPRENSIVO FONDO - REVO';PRIMARIA;SCUOLA PRIMARIA SARNONICO;0221702101;57;5
ISTITUTO COMPRENSIVO FONDO - REVO';SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""C.A. Martini"" REVO'";0221523001;116;6
ISTITUTO COMPRENSIVO FONDO - REVO';SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""G. B. LAMPI"" FONDO";0220883001;218;12
ISTITUTO COMPRENSIVO GIUDICARIE ESTERIORI;PRIMARIA;"SCUOLA PRIMARIA ""G. GRAFFER"" STENICO";0221822101;48;5
ISTITUTO COMPRENSIVO GIUDICARIE ESTERIORI;PRIMARIA;"SCUOLA PRIMARIA ""SAN G. BOSCO"" S.LORENZO IN BANALE";0221662101;62;5
ISTITUTO COMPRENSIVO GIUDICARIE ESTERIORI;PRIMARIA;SCUOLA PRIMARIA CAMPO LOMASO;0221072101;141;9
ISTITUTO COMPRENSIVO GIUDICARIE ESTERIORI;PRIMARIA;SCUOLA PRIMARIA FIAVE';0220832101;58;5
ISTITUTO COMPRENSIVO GIUDICARIE ESTERIORI;PRIMARIA;SCUOLA PRIMARIA RANGO BLEGGIO SUPERIORE;0220172101;81;5
